ProductName,ProductPrice,ProductDiscount,Brand,Gender
RAPIDMOVE ADV TRAINER W Training & Gym Shoes For Women,10999,4679,Adidas,Women
X_PLRPHASE Running Shoes For Women,5999,7699,Adidas,Women
Brace Walk W Walking Shoes For Women,3599,3299,Adidas,Women
DURAMO SL Running Shoes For Women,10999,3629,Adidas,Women
CushOn W Walking Shoes For Women,5599,2519,Adidas,Women
X_PLRPHASE Running Shoes For Women,4999,7699,Adidas,Women
COURT PLATFORM Skateboard Shoes For Women,12999,3079,Adidas,Women
Walking Shoes For Women,12999,2499,Adidas,Women
Adizero Fastcourt 2.0 W Walking Shoes For Women,8999,7799,Adidas,Women
PUREBOOST 23 W Running Shoes For Women,4999,9099,Adidas,Women
AlphaBounce + Running Shoes For Women,13999,6299,Adidas,Women
WalkAnew W Walking Shoes For Women,12999,3499,Adidas,Women
X_Plrphase Running Shoes For Women,7999,10999,Adidas,Women
TERREX SOULSTRIDE FLOW W Running Shoes For Women,12999,9799,Adidas,Women
PUREBOOST 23 W Running Shoes For Women,9999,9099,Adidas,Women
PUREBOOST 23 W Running Shoes For Women,17999,9099,Adidas,Women
OSADE Tennis Shoes For Women,12999,5499,Adidas,Women
Running Shoes For Women,17999,4619,Adidas,Women
Dash-Run W Running Shoes For Women,4999,4999,Adidas,Women
X_PLRBOOST Running Shoes For Women,10799,10799,Adidas,Women
DROPSET 2 TRAINER W Training & Gym Shoes For Women,9099,9099,Adidas,Women
ULTRABOOST 22 W Running Shoes For Women,10799,10799,Adidas,Women
